fa_2back,hit_2back,dprime_2back,StudyID
0.04545454545454545,0.19696969696969696,-0.27401891316676374,8
0.24242424242424243,0.24242424242424243,-3.043112586492798,54
0.10606060606060606,0.2272727272727273,-0.8478434569246273,64
0.13636363636363635,0.15151515151515152,-2.6847509964258065,66
0.0303030303030303,0.2727272727272727,1.2902662180930955,80
0.06060606060606061,0.2727272727272727,0.7450214016104559,86
0.10606060606060606,0.2727272727272727,-0.07284582311350363,108
0.01515151515151515,0.21212121212121213,0.5295584479195842,116
0,0.30303030303030304,2.352176123783152,125
0,0.2272727272727273,1.0605134007646118,126
0.01515151515151515,0.2878787878787879,1.821221170938124,136
0.09090909090909093,0.19696969696969696,-1.0918861378907232,137
0.06060606060606061,0.2272727272727273,-0.02997623220066769,139
0.13636363636363635,0.18181818181818185,-2.1680859072183907,142
0.12121212121212122,0.09090909090909093,-3.4454587665993186,151
0.0303030303030303,0.2727272727272727,1.2902662180930955,1
0.06060606060606061,0.21212121212121213,-0.2883087768043754,3
0.0303030303030303,0.2878787878787879,1.5485987626968043,20
0.0303030303030303,0.24242424242424243,0.7736011288856802,31
0.06060606060606061,0.2272727272727273,-0.02997623220066769,35
0.19696969696969696,0.21212121212121213,-2.741910450976254,41
0,0.2878787878787879,2.093843579179444,49
0.06060606060606061,0.24242424242424243,0.22835631240304052,56
0.04545454545454545,0.06060606060606061,-2.5990118146001353,65
0.07575757575757576,0.16666666666666666,-1.3359288188568197,67
0.0303030303030303,0.2878787878787879,1.5485987626968043,75
0.0303030303030303,0.2727272727272727,1.2902662180930955,81
0.15151515151515152,0.16666666666666666,-2.699040860063419,92
0.09090909090909093,0.2272727272727273,-0.5752210486833074,93
0.04545454545454545,0.18181818181818185,-0.5323514577704715,113
0.07575757575757576,0.2727272727272727,0.472398993369136,118
0,0.2878787878787879,2.093843579179444,127
0.0303030303030303,0.2878787878787879,1.5485987626968043,114
0,0.25757575757575757,1.5771784899720278,2
0.01515151515151515,0.2727272727272727,1.5628886263344155,5
0.01515151515151515,0.2727272727272727,1.5628886263344155,17
0.01515151515151515,0.25757575757575757,1.3045560817307078,24
0.01515151515151515,0.2878787878787879,1.821221170938124,43
0.06060606060606061,0.19696969696969696,-0.5466413214080836,46
0.13636363636363635,0.16666666666666666,-2.426418451822099,48
0.01515151515151515,0.30303030303030304,2.079553715541832,55
0.01515151515151515,0.19696969696969696,0.271225903315876,71
0.07575757575757576,0.24242424242424243,-0.04426609583827934,76
0.0303030303030303,0.07575757575757576,-2.068056861755107,87
0,0.19696969696969696,0.5438483115571959,88
0.09090909090909093,0.2272727272727273,-0.5752210486833074,101
0.04545454545454545,0.24242424242424243,0.5009787206443603,109
0.0303030303030303,0.25757575757575757,1.0319336734893878,128
0.12121212121212122,0.19696969696969696,-1.637130954373363,129
0.01515151515151515,0.24242424242424243,1.046223537127,4
0.01515151515151515,0.30303030303030304,2.079553715541832,7
0.01515151515151515,0.3181818181818182,2.3378862601455395,16
0,0.25757575757575757,1.5771784899720278,19
0.07575757575757576,0.13636363636363635,-1.8525939080642353,32
0.0303030303030303,0.2878787878787879,1.5485987626968043,34
0.0303030303030303,0.25757575757575757,1.0319336734893878,36
0.07575757575757576,0.25757575757575757,0.21406644876542835,40
0,0.16666666666666666,0.02718322234977988,44
0.06060606060606061,0.21212121212121213,-0.2883087768043754,53
0.10606060606060606,0.2272727272727273,-0.8478434569246273,60
0.07575757575757576,0.09090909090909093,-2.627591541875359,73
0.06060606060606061,0.24242424242424243,0.22835631240304052,77
0.0303030303030303,0.2727272727272727,1.2902662180930955,85
0.04545454545454545,0.25757575757575757,0.759311265248068,102
0.0303030303030303,0.2272727272727273,0.515268584281972,117
0.01515151515151515,0.18181818181818185,0.01289335871216823,119
0.09090909090909093,0.25757575757575757,-0.05855595947589143,130
0.04545454545454545,0.25757575757575757,0.759311265248068,122
0.0303030303030303,0.2272727272727273,0.515268584281972,12
0.06060606060606061,0.2272727272727273,-0.02997623220066769,18
0.09090909090909093,0.2878787878787879,0.45810912973152496,26
0.01515151515151515,0.30303030303030304,2.079553715541832,33
0.09090909090909093,0.21212121212121213,-0.8335535932870151,45
0.0303030303030303,0.24242424242424243,0.7736011288856802,68
0.07575757575757576,0.25757575757575757,0.21406644876542835,83
0.06060606060606061,0.25757575757575757,0.48668885700674824,98
0.07575757575757576,0.12121212121212122,-2.110926452667943,106
0.21212121212121213,0.15151515151515152,-4.047863037632406,110
0,0.19696969696969696,0.5438483115571959,115
0.06060606060606061,0.15151515151515152,-1.3216389552192074,131
0.01515151515151515,0.2727272727272727,1.5628886263344155,133
0.04545454545454545,0.2272727272727273,0.24264617604065217,138
0.01515151515151515,0.24242424242424243,1.046223537127,144
0.01515151515151515,0.10606060606060606,-1.2787693643063711,149
0,0.24242424242424243,1.31884594536832,153
0,0.2878787878787879,2.093843579179444,154
0.15151515151515152,0.12121212121212122,-3.4740384938745423,155
0.06060606060606061,0.15151515151515152,-1.3216389552192074,104
0,0.30303030303030304,2.352176123783152,157
0,0.24242424242424243,1.31884594536832,13
0,0.30303030303030304,2.352176123783152,15
0,0.2878787878787879,2.093843579179444,28
0.09090909090909093,0.2878787878787879,0.45810912973152496,37
0.01515151515151515,0.2727272727272727,1.5628886263344155,51
0.10606060606060606,0.13636363636363635,-2.397838724546875,52
0.0303030303030303,0.2727272727272727,1.2902662180930955,69
0.06060606060606061,0.2878787878787879,1.0033539462141643,78
0.09090909090909093,0.24242424242424243,-0.3168885040795991,82
0,0.07575757575757576,-1.5228120452724674,89
0.12121212121212122,0.18181818181818185,-1.895463498977071,90
0.0303030303030303,0.25757575757575757,1.0319336734893878,91
0.10606060606060606,0.21212121212121213,-1.1061760015283348,95
0.06060606060606061,0.21212121212121213,-0.2883087768043754,96
0.0303030303030303,0.21212121212121213,0.2569360396782643,97
0.04545454545454545,0.12121212121212122,-1.5656816361853032,103
0.07575757575757576,0.18181818181818185,-1.077596274253111,107
0.06060606060606061,0.2727272727272727,0.7450214016104559,123
0,0.12121212121212122,-0.7478144114613436,124
0.06060606060606061,0.19696969696969696,-0.5466413214080836,10
0.0303030303030303,0.18181818181818185,-0.25972904952915166,21
0.01515151515151515,0.2878787878787879,1.821221170938124,29
0.10606060606060606,0.2272727272727273,-0.8478434569246273,39
0.0303030303030303,0.24242424242424243,0.7736011288856802,42
0.07575757575757576,0.2272727272727273,-0.3025986404419876,50
0.01515151515151515,0.25757575757575757,1.3045560817307078,57
0.06060606060606061,0.2272727272727273,-0.02997623220066769,59
0.0303030303030303,0.09090909090909093,-1.8097243171513997,70
0.13636363636363635,0.15151515151515152,-2.6847509964258065,105
0.07575757575757576,0.16666666666666666,-1.3359288188568197,120
0.12121212121212122,0.12121212121212122,-2.9287936773919023,140
0.09090909090909093,0.2727272727272727,0.19977658512781624,141
0.04545454545454545,0.19696969696969696,-0.27401891316676374,145
0.0303030303030303,0.2727272727272727,1.2902662180930955,146
0.0303030303030303,0.24242424242424243,0.7736011288856802,150
0.09090909090909093,0.19696969696969696,-1.0918861378907232,156
0.12121212121212122,0.18181818181818185,-1.895463498977071,6
0.10606060606060606,0.18181818181818185,-1.622841090735751,11
0.06060606060606061,0.2272727272727273,-0.02997623220066769,14
0.06060606060606061,0.30303030303030304,1.2616864908178722,23
0.01515151515151515,0.2878787878787879,1.821221170938124,27
0.01515151515151515,0.2878787878787879,1.821221170938124,30
0,0.30303030303030304,2.352176123783152,38
0.07575757575757576,0.10606060606060606,-2.369258997271651,47
0.04545454545454545,0.21212121212121213,-0.01568636856305555,58
0,0.2272727272727273,1.0605134007646118,148
0.3787878787878788,0.16666666666666666,-6.788376983683216,74
0.09090909090909093,0.19696969696969696,-1.0918861378907232,79
0.01515151515151515,0.21212121212121213,0.5295584479195842,111
0.04545454545454545,0.25757575757575757,0.759311265248068,132
0.01515151515151515,0.24242424242424243,1.046223537127,134
0.09090909090909093,0.2878787878787879,0.45810912973152496,135
0.25757575757575757,0.13636363636363635,-5.124062806960073,143
0.0303030303030303,0.2727272727272727,1.2902662180930955,147
0,0.3181818181818182,2.6105086683868595,152
